song1	song2	song3	song4	song5	song6	song7	song8	song9	song10	song11	song12	song13	song14	song15	song16	song17	song18	song19	song20	common
Music Man, The	About Cherry	Firewalker	He Walked by Night	Bank Dick, The	Rock Star	Ender's Game	Stefano Quantestorie	Mr. Robinson Crusoe	Zone, The (La Zona)	Charm School (Niñas mal)	My Sucky Teen Romance	Fried Green Tomatoes	Shanghai	Sniper	A Lesson Before Dying	Piano Tuner of Earthquakes, The	Still Mine	Pretty Good for a Human (People Not as Bad as They Seem) (Aika hyvä ihmiseksi)	Class of 92, The	0
Cesar Chavez	Teen Wolf	Bulli: Cooking in Progress, El	Missing William	Wrestling with Alligators	Pulse (Kairo)	Battlestar Galactica	Suicide Room	Stations of the Cross	Ernest & Célestine (Ernest et Célestine)	Box, The	Savage Streets	Bay of Angels (La baie des anges)	Little Mermaid 2: Return to the Sea, The	Shooting Dogs (a.k.a. Beyond the Gates)	Blue Thunder	Abe Lincoln in Illinois	Maiden's Cheek (To xylo vgike apo ton Paradeiso)	King of Comedy, The	Assassination Bureau, The	0
Young and Innocent	Seance on a Wet Afternoon	Eastern Plays	Triangle (Tie saam gok)	Home Sweet Home	In Praise of Older Women	House of Wax	Scandal (Shubun)	Dracula	Flaming Star	Chameleon (Kaméleon)	Just a Little Harmless Sex	Four Brothers	Liebestraum	Arise, My Love	Amazing Transparent Man, The	Play Time (a.k.a. Playtime)	Lost in Siberia (Ausgerechnet Sibirien)	Along the Sungari River (Song hua jiang shang)	Devil at 4 O'Clock, The	0
A Fugitive from the Past	Fantasia 2000	976-EVIL	John Carter	Hector and the Search for Happiness	Day of the Falcon	Seeker: The Dark Is Rising, The	Sky High	Green Man, The	I Am a Sex Addict	Pillars of the Earth, The	Sabah	Claudine	Truman Show, The	Men Without Women	Shaggy D.A., The	Black Legion	Little Big Man	Feast of All Saints	City of Men (Cidade dos Homens)	0
Bright Lights	Insect Woman, The (Nippon konchûki)	Pusher III: I'm the Angel of Death	Drop Zone	King and the Clown, The (Wang-ui namja)	Cyborg	Babbitt	Jungle Book 2, The	Fantasia 2000	Ten Minutes Older: The Cello	Boogie Man: The Lee Atwater Story	Defending Your Life	Wholly Moses	Sin Nombre	Arnulf Rainer	Lady and the Tramp II: Scamp's Adventure	American Raspberry (Prime Time) (Funny America)	Albuquerque	7 Boxes (7 cajas)	Pitch Black	0
Ruby in Paradise	Summer Things (Embrassez qui vous voudrez)	On the Double 	Once in a Lifetime: The Extraordinary Story of the New York Cosmos	Billy Budd	Not as a Stranger	Set It Off	It Could Happen to You	(Untitled)	Before the Rain (Pred dozhdot)	33 Postcards	Kozara	Square Dance	Blue Valentine	Love the Beast	A Justified Life: Sam Peckinpah and the High Country	Variety Lights	One Point O	Student Bodies	Flywheel	0
Demonic	Every Day	Concert for George, The	Haunter	Rammbock	Gremlins	Libre échange	Rebellion (L'ordre et la morale)	Special Delivery	Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom)	Bell, Book and Candle	Spanglish	The Law of the Weakest	Without Limits	Genealogies of a Crime (Généalogies d'un crime)	Merry Widow, The	Xiu Xiu: The Sent-Down Girl (Tian yu)	Big Doll House, The	Forgotten One, The	Bleak House	0
Memories (Memorîzu)	Strange Case of Dr. Jekyll and Mr. Hyde, The	Kiwi!	So Dear to My Heart	House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La)	Trouble with Girls, The	Elephant White	Love Meetings (Comizi d'amore)	McHale's Navy	Wedding Banquet, The (Xi yan)	Northerners, The (De noorderlingen)	Dark Alibi	Lassie	Highlander II: The Quickening	Killer Force	Informant	Tale of Springtime, A (Conte de Printemps)	This Could Be The Night	Suck	Undisputed III: Redemption	0
Don Is Dead, The	55 Days at Peking	Boom Town	Remington and the Curse of the Zombadings	Blackfish	Year My Parents Went on Vacation, The (O Ano em Que Meus Pais Saíram de Férias)	Last Rites of Joe May, The	Taxing Woman, A (Marusa no onna)	Curse of the Hedgehog, The (Blestemul ariciului)	Camille	August (Elokuu) 	Shame	Ambassador, The (Ambassadøren)	Beyond the Forest	Noah	Out of Bounds	Brenda Starr	Lords of Dogtown	King of Fighters, The	Shadows in an Empty Room	0
Rigoletto	Company, The	No Blade of Grass	Bringing Down the House	Mission London	All the Little Animals	Return to Snowy River (a.k.a. The Man From Snowy River II)	Patriot, The	Chocolat	I Am Dina	Giant Spider Invasion, The	Return of the Musketeers, The	Mark of Zorro, The	Brubaker	Argentina latente	National Theatre Live: Frankenstein	Battle of amfAR, The	Bells of Capistrano	Ninja III: The Domination	Riffraff	0
