musicId	musicName	artist	type	grade
1	Kill by Inches	Margie Sedworth	Maroon	1.9
2	Lines: Horizontal	Milo Farries	Mauv	3.8
3	Bright Days Ahead	Berne Saunders	Khaki	3.7
4	Gigot	Benton Steagall	Fuscia	3.5
5	High Heels (Tacones lejanos)	Chadd Bolan	Pink	4.7
6	Maradona, the Hand of God (Maradona, la mano di Dio)	Neale Peacock	Khaki	3.4
7	Lawn Dogs	Avery Hatchett	Puce	4.1
8	Love, Rosie	Rikki Dormand	Teal	3.4
9	Cargo	Zara Scrancher	Green	1.4
10	Hara-Kiri: Death of a Samurai	Corrianne Lemerie	Green	3.9
11	Blood Moon	Emilie Hartshorn	Puce	3.5
12	Killing Me Softly	Trixy Godsafe	Turquoise	2.0
13	Alcan Highway (Alaska Highway)	Stearn Keggin	Fuscia	4.0
14	Family Tree, The	Traci Cousins	Purple	1.2
15	Silence Before Bach, The (Die Stille vor Bach) 	Bill McGuinley	Purple	2.6
16	Held Up	Shay McKleod	Maroon	4.0
17	2 Fast 2 Furious (Fast and the Furious 2, The)	Raviv Bimrose	Yellow	4.7
18	Rogue	Daryl Cholonin	Puce	2.2
19	Pruitt-Igoe Myth, The	Geri Mitchinson	Turquoise	2.7
20	Navy Blues	Hestia Jenk	Red	4.6
21	Five People You Meet in Heaven, The	Teresita Wadge	Maroon	1.2
22	Scarlet Street	Coreen Itscowicz	Crimson	1.9
23	American Gun	Karlen Gillbey	Violet	1.1
24	Craigslist Joe	Lissa Jiras	Khaki	4.3
25	Car Wash	Fredi Latek	Violet	3.8
26	Toxic Avenger, Part II, The	Consalve Duinkerk	Violet	4.1
27	Freshman, The	Doro Tabner	Green	3.0
28	Mark Shoots First	Manuel St Pierre	Yellow	3.4
29	Je m'appelle Elisabeth	Tracie Yter	Turquoise	2.8
30	Garbage Prince	Morten Karys	Purple	4.8
31	Private Parts	Willamina MacPeake	Fuscia	1.5
32	Anna	Fernando Bengoechea	Fuscia	1.5
33	Soldier of Fortune	Terrel Redman	Maroon	3.0
34	So Evil, So Young	Holly Hacksby	Turquoise	1.3
35	Grapes of Death, The (Raisins de la mort, Les)	Mada Choulerton	Mauv	1.8
36	RiP: A Remix Manifesto	Lowrance Lemerie	Indigo	2.7
37	Hillsborough	Christiano Hanbury-Brown	Green	3.9
38	French Roast	Laney Freer	Purple	1.3
39	Four Christmases	Jolie Whitwham	Violet	4.2
40	Into the Storm	Anthiathia Autry	Maroon	2.2
41	Little Sister	Carny Glaserman	Goldenrod	4.3
42	Dream Team 1935	Geralda Jolland	Khaki	1.9
43	Brass Monkey	Xever Barns	Mauv	4.0
44	Fright	Audre Pittel	Violet	3.4
45	Spy Kids 2: The Island of Lost Dreams	Betti Kirkwood	Pink	4.5
46	Who Killed Vincent Chin?	Deane Wayne	Yellow	3.6
47	Perestroika	Paten Kenright	Goldenrod	2.7
48	Kambakkht Ishq (Incredible Love)	Stinky Python	Green	3.9
49	Tuvalu	Lesli Puckett	Teal	4.5
50	Chance Pe Dance	Sanders Witherop	Aquamarine	3.8
51	My Sweet Pepper Land	Selby Ashton	Orange	2.5
52	Lady in a Cage	Roger Easom	Maroon	1.1
53	Harlem Nights	Clim Belfrage	Teal	3.6
54	King and I, The	Rudiger Burnand	Crimson	4.0
55	Hanging Up	Matias Waghorn	Indigo	1.4
56	Tokyo Fiancée	Kennith Archbold	Fuscia	4.6
57	Misery	Rhonda Frankiss	Red	2.3
58	Manufacturing Reality: Slavoj Zizek and the Reality of the Virtual (Slavoj Zizek: The Reality of the Virtual)	Clementia Lapping	Aquamarine	2.0
59	Bugsy Malone	Perkin Izacenko	Crimson	2.0
60	Paraíso Travel	Webster Hirsthouse	Goldenrod	1.0
61	Splitting Heirs	Alexine Bestar	Aquamarine	4.2
62	Edge of Seventeen	Cathe Trinke	Puce	2.1
63	Yossi & Jagger	Dolli Piscopo	Yellow	2.5
64	Invisible Man Returns, The	Leeann McFaul	Red	3.4
65	Riding the Bullet	Even Bradford	Fuscia	2.9
66	Laffghanistan: Comedy Down Range	Nichols Kettlesting	Crimson	1.1
67	Bells of Innocence	Nilson Matuszewski	Teal	1.4
68	Rubber Johnny	Jae Rucklidge	Fuscia	3.1
69	Bandidas	Jeniffer Eisold	Yellow	4.8
70	Armageddon	Bernadene Whyard	Yellow	2.3
71	Snow (Snijeg)	Christie Armer	Blue	2.4
72	Look What's Happened to Rosemary's Baby (a.k.a. Rosemary's Baby II)	Loren Wythe	Orange	2.2
73	Self-Made Hero, A (Un héros très discret)	Elwin Tonner	Red	3.0
74	Wisconsin Death Trip	Clo Sillick	Aquamarine	1.8
75	Hello Herman	Margalo Durden	Puce	3.9
76	Cosmic Monster, The	Sholom Stollenbecker	Puce	2.8
77	On Deadly Ground	Star Gatman	Purple	1.3
78	Lady Snowblood (Shurayukihime)	Briny Garfield	Teal	4.1
79	Alucarda	Darcie Hefferon	Blue	4.9
80	Emergency Escape, The (Wyjscie awaryjne)	Izabel Shipton	Goldenrod	3.2
81	Métisse (Café au Lait)	Ody Grigoletti	Red	3.2
82	Kevin Smith: Too Fat For 40	Gwenora Bruce	Orange	2.7
83	A Fugitive from the Past	Dinny Corragan	Goldenrod	3.7
84	Saint in London, The	Evangelin Toffel	Yellow	3.5
85	Am Ende eiens viel zu kurzen Tages (Death of a superhero)	Jehu Banks	Fuscia	1.8
86	Motel Life, The	Garfield D'Andrea	Crimson	3.6
87	Dynamite Girl (Dynamiittityttö)	Adelle Gillies	Aquamarine	1.4
88	Dark Girls	Wallache Glidder	Maroon	3.6
89	Fed Up	Hobart McTavy	Violet	2.9
90	Lost in Yonkers	Becky Frigot	Pink	1.0
91	Science of Sleep, The (La science des rêves)	Eula Whittet	Maroon	1.4
92	Fanboys	Hyacintha Rainger	Orange	2.6
93	Blackout	Tine Briscam	Green	4.1
94	Origin: Spirits of the Past (Gin-iro no kami no Agito)	Audrie Goom	Green	4.5
95	Boris Godunov	Maurie Chipping	Indigo	3.7
96	Father of the Bride	Dru Norledge	Maroon	2.2
97	Toast of New Orleans, The	Moises Symmons	Teal	3.0
98	Girl, Interrupted	Ogdon Honisch	Teal	1.9
99	Shepherd: Border Patrol, The	Rufe Durnan	Blue	3.2
100	Mentiras y gordas	Minette Frenzel;	Indigo	2.2
101	Vivacious Lady	Sammie Melmar	Puce	1.8
102	The Hatchet Man	Nydia Manicom	Goldenrod	3.6
103	Someone to Watch Over Me	Charles Cardoo	Maroon	4.3
104	Beautiful City (Shah-re ziba)	Nikolai Winthrop	Khaki	3.2
105	Days and Nights	Jeth Densell	Turquoise	2.4
106	After You (Après vous...)	Fritz Carwithan	Puce	1.5
107	The Big One: The Great Los Angeles Earthquake	Baxter Levensky	Purple	4.8
108	Joshua	Dion Kobelt	Aquamarine	1.1
109	Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios)	Ludovico Risbridge	Mauv	4.5
110	Teenage Mutant Ninja Turtles: Turtles Forever	Maritsa Hrachovec	Turquoise	2.1
111	Ernest Goes to School	Hayes McCole	Turquoise	4.3
112	Addams Family Values	Dinah Peebles	Pink	4.1
113	They Wait	Vinny Thornewell	Khaki	1.5
114	Cheyenne Social Club, The	Alessandro Sloyan	Goldenrod	1.6
115	Flipper	Kiri Faulds	Red	1.6
116	Changeling	Timoteo Petit	Orange	2.9
117	Girl, The	Melinde Cavil	Puce	1.1
118	Man from the Future, The (O Homem do Futuro)	Bess Martignon	Puce	4.5
119	Jim Jefferies: I Swear to God	Ivor Praundl	Mauv	3.6
120	Dawn Patrol, The (Flight Commander)	Crin Hedgeman	Maroon	4.0
121	Black Scorpion, The	Elvina Palfrie	Mauv	3.7
122	Separation City	Jeanette Wimsett	Fuscia	1.2
123	Silent Action	Verina Kohring	Fuscia	1.8
124	Entre Amigos (Planta 4ª)	Phillis Robathon	Blue	3.5
125	Tower Heist	Gibby Wastell	Fuscia	1.4
126	Police Academy 6: City Under Siege	Allix Maddinon	Orange	1.3
127	Piranhaconda	Katrina Cleynaert	Crimson	3.7
128	Orwell Rolls in His Grave	Eleen Gilby	Turquoise	3.6
129	King Boxer: Five Fingers of Death (Tian xia di yi quan)	Layton Dudill	Mauv	4.6
130	Leviathan	Claude Brasener	Maroon	3.8
131	Family Tree	Delano Tampling	Orange	2.1
132	Manuel on the Island of Wonders (Manoel dans l'île des merveilles)	Alphonse Barton	Pink	1.8
133	Rome, Open City (a.k.a. Open City) (Roma, città aperta)	Luciana Cosgrive	Red	3.1
134	Sea of Grass, The	Hillary Poultney	Aquamarine	2.2
135	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)	Shaina Spinetti	Crimson	3.1
136	King's Game (Kongekabale)	Bancroft Baudin	Blue	3.4
137	Trailer Park of Terror	Oren Nisot	Orange	4.8
138	Boys in the Band, The	Corrina Drewet	Goldenrod	1.5
139	Indian Runner, The	Nissa Nowill	Pink	3.8
140	Bright Days Ahead	Briana English	Teal	4.1
141	Short Game, The	Neilla Piechnik	Khaki	1.8
142	Brighter Summer Day, A (Gu ling jie shao nian sha ren shi jian)	Maura Strognell	Yellow	4.2
143	Bhutto	Currey Couvert	Maroon	3.1
144	Kink	Briano Allman	Orange	1.8
145	Mating Habits of the Earthbound Human, The	Maximilian Dregan	Purple	4.3
146	Honkytonk Man	Althea Weinmann	Orange	3.4
147	Secret Life of Words, The	Christye Scholling	Fuscia	2.2
148	Stations of the Cross	Claiborn Larham	Khaki	4.1
149	Trainer on the Beach 2	Galven Camelli	Orange	3.0
150	Portrait Werner Herzog	Quentin Munt	Indigo	2.4
151	Wall Street: Money Never Sleeps	Flemming Veal	Khaki	1.5
152	Last Sunset, The	Winnie Fulton	Purple	4.4
153	Revenge of the Green Dragons	Brien Rodway	Puce	2.2
154	Black Mirror	Jillayne Maken	Crimson	3.5
155	Giallo	Maudie Galloway	Violet	2.0
156	Dear Jesse	Cam Skrzynski	Fuscia	1.1
157	Trespass	Pearle Titchen	Maroon	4.8
158	Scotland, Pa.	Hedi Sillars	Teal	2.4
159	One Million B.C.	Guglielmo Girone	Violet	1.3
160	Best Man, The	Ambrose Simonot	Crimson	2.2
161	Neighbours	Gianna Bottell	Aquamarine	4.7
162	The Little Kidnappers	Tabor Eilhertsen	Crimson	3.8
163	Blood and Roses (Et mourir de plaisir) (To Die with Pleasure)	Garner Lipprose	Khaki	1.8
164	Hannah and Her Sisters	Sadye Della Scala	Red	4.4
165	I Can't Think Straight	Jesse Curner	Yellow	1.7
166	Knucklehead	Udell Hassey	Khaki	3.6
167	Captain America	Gallard Donohue	Fuscia	4.7
168	In Gold We Trust (600 kilos d'or pur)	Emalia Scorton	Green	4.3
169	Secret Glory, The	Seward Avison	Red	4.5
170	Constant Nymph, The	Sherlocke O'Neill	Orange	3.3
171	Daisies (Sedmikrasky)	Tom Karlmann	Fuscia	2.2
172	Flow	Malina Longstaffe	Indigo	4.9
