musicId	musicName	artist	type	grade
1	Gasolina	Daddy Yankee	Rapping	4.2
2	I Choose You	UGK	Rapping	3.7
3	1901	Phoenix	Blues	4.5
4	Tighten Up	The Black Keys	Country music	3.6
5	Can’t get you out of my head	Kylie Minogue	Soul	4.1
6	Jesus walks	Kanye West	Rapping	3.8
7	I’m not Okay	My Chemical Romance	Rock	3.9
8	Stoned and starving	Parquet Courts	pop music	3.2
9	Despacito	Daddy Yankee	Latin	4.8
10	Hate to say I told you so	The Hives	Rock	3.3
11	Hannah Hunt	Vampire Weekend	Blues	2.9
12	We belong together	Mariah Carey	pop music	4.7
13	I love it	Charli XCX	Rock	4.0
14	My shot	Original Broadway Cast of Hamilton	Rapping	3.4
15	One more time	Daft Punk	Souls	2.5
16	Lost cause	Beck	country music	3.8
17	New slang	The Shins	Souls	3.9
18	Hollaback Girl	Gwen Stefani	Rock	4.8
19	The Scientist	Coldplay	Souls	4.5
20	Sign of the times	Harry Styles	country music	4.3
21	Happy	Pharrell Williams	Funk	4.7
22	Redbone	Childish Gambino	Souls	3.9
23	Cry me a river	Justin Timberlake	pop music	4.2
24	Sorry	Justin Bieber	pop music	4.8
25	Stan	Eminem	Rapping	4.9
26	Cranes in the sky	Solange	Souls	2.8
27	Royals	Lorde	country music	3.9
28	Rolling in the deep	Adele	pop music	4.5
29	Runaway	Kanye West	blues	3.4
30	99 Problems	Jay-Z	Rapping	4.6
31	Hey Ya	Outkast	Jazz	2.9
32	Paper Planes	M.I.A	Souls	3.6
33	Crazy in love	Beyonce	Rapping	4.5
34	Beautiful day	U2	Rock	3.9
35	No one knows	Queens of the Stone Age	Jazz	3.1
36	Formation	Beyonce	blues	4.8
37	Perfect	Ed Sheeran	country music	4.2
38	You belong with me	Taylor Swift	pop music	4.0
39	You want it darker	Leonard Cohen	Jazz	3.1
40	Imagination	Shawn Mendes	country music	4.8
